function_name,usage_count
adjust_feb_29_to_28,3
analyze_datetime_patterns,1
analyze_decimal_precision,5
analyze_dst_fallback,2
analyze_dst_springforward,2
analyze_duration_category,9
analyze_duration_QA,3
analyze_skewed_durations,2
analyze_street_matches,2
audit_date_fields,1
audit_zero_time_screenout,2
calculate_durations,3
compare_street_analyses,2
consolidate_agencies,2
create_basic_bar_chart,2
cross_street_analysis,2
date_checks_character,2
david_theme,15
detect_duplicates,2
end_program,5
fix_dst_spring_forward,3
get_dst_end,3
get_dst_start,7
modify_column_names,4
na_only_and_backlog_by_year,2
parse_date_column,2
plot_annual_counts_with_projection,2
plot_barchart,34
plot_boxplot,27
plot_date_field_analysis,5
plot_duration_histogram,2
plot_histogram,4
plot_pareto_combo,67
plot_violin_boxplot,10
report_date_column,1
report_due_before_created,2
report_future_closed,2
report_post_closed_updates,2
report_resolution_update_before_created,2
report_status_closed_date_exceptions,2
rsample,4
save_and_verify,2
standardize_missing_chars,2
summarize_backlog,2
summarize_complaint_response,2
validate_values,2
